datetime,open,high,low,close,volume
2017-09-01 00:00:00+00:00,4689.8900000000,4885.5500000000,4654.8800000000,4834.9100000000,560.6663660000
2017-09-02 00:00:00+00:00,4796.1600000000,4939.1900000000,4286.8700000000,4472.1400000000,929.1485950000
2017-09-03 00:00:00+00:00,4508.5000000000,4714.7600000000,4298.3300000000,4509.0800000000,691.2161980000
2017-09-04 00:00:00+00:00,4505.0000000000,4527.4900000000,3972.5100000000,4100.1100000000,1394.6446140000
2017-09-05 00:00:00+00:00,4106.9700000000,4484.9900000000,3603.0000000000,4366.4700000000,1228.9381570000
2017-09-06 00:00:00+00:00,4366.4900000000,4662.8700000000,4335.2600000000,4619.7700000000,807.3637260000
2017-09-07 00:00:00+00:00,4619.7700000000,4788.5900000000,4438.1900000000,4691.6100000000,500.4299750000
2017-09-08 00:00:00+00:00,4691.6600000000,4735.3900000000,4028.9300000000,4282.8000000000,1132.2550460000
2017-09-09 00:00:00+00:00,4282.8000000000,4426.6200000000,4150.0600000000,4258.8100000000,658.7829520000
2017-09-10 00:00:00+00:00,4258.8100000000,4283.0000000000,3801.0000000000,4130.3700000000,660.3732750000
2017-09-11 00:00:00+00:00,4153.6200000000,4334.4300000000,4098.9100000000,4208.4700000000,699.9890650000
2017-09-12 00:00:00+00:00,4208.6000000000,4394.5900000000,4040.8000000000,4163.7200000000,879.6303190000
2017-09-13 00:00:00+00:00,4159.7200000000,4165.3800000000,3760.0000000000,3944.6900000000,913.4625450000
2017-09-14 00:00:00+00:00,3944.0000000000,3993.0000000000,3165.1300000000,3189.0200000000,1665.0215430000
2017-09-15 00:00:00+00:00,3188.0100000000,3856.0000000000,2817.0000000000,3700.0000000000,1968.8664920000
2017-09-16 00:00:00+00:00,3674.0100000000,3950.0000000000,3470.6600000000,3714.9500000000,1297.5639530000
2017-09-17 00:00:00+00:00,3685.2300000000,3748.2100000000,3499.0200000000,3699.9900000000,682.1712100000
2017-09-18 00:00:00+00:00,3690.0000000000,4123.2000000000,3690.0000000000,4035.0100000000,1030.0064550000
2017-09-19 00:00:00+00:00,4060.0000000000,4089.9700000000,3830.9100000000,3910.0400000000,902.3321290000
2017-09-20 00:00:00+00:00,3910.0400000000,4046.0800000000,3820.0000000000,3900.0000000000,720.9350760000
2017-09-21 00:00:00+00:00,3889.9900000000,3910.0000000000,3567.0000000000,3609.9900000000,1001.6540840000
