datetime,open,high,low,close,volume
2020-10-15 00:00:00+00:00,51.4300000000,59.0000000000,42.7470000000,42.9990000000,98648.8700000000
2020-10-16 00:00:00+00:00,43.0170000000,43.8000000000,39.0920000000,39.4610000000,90836.4120000000
2020-10-17 00:00:00+00:00,39.3710000000,43.2350000000,38.2060000000,41.3650000000,41971.1430000000
2020-10-18 00:00:00+00:00,41.3590000000,41.4250000000,39.4280000000,40.7500000000,30917.9530000000
2020-10-19 00:00:00+00:00,40.8200000000,41.0000000000,35.9120000000,35.9800000000,86475.9360000000
2020-10-20 00:00:00+00:00,36.0000000000,36.4030000000,32.0000000000,32.1600000000,202653.5040000000
2020-10-21 00:00:00+00:00,32.1860000000,37.1450000000,32.0000000000,35.0730000000,145648.7680000000
2020-10-22 00:00:00+00:00,35.0330000000,40.3790000000,33.2660000000,37.8360000000,154369.9780000000
2020-10-23 00:00:00+00:00,37.9110000000,42.6580000000,36.9980000000,41.6810000000,190627.9510000000
2020-10-24 00:00:00+00:00,41.6810000000,42.6300000000,38.5020000000,39.4370000000,102431.6080000000
2020-10-25 00:00:00+00:00,39.4380000000,41.0000000000,37.2000000000,37.8950000000,74622.9330000000
2020-10-26 00:00:00+00:00,37.8930000000,39.1920000000,34.8550000000,35.9500000000,95472.3090000000
2020-10-27 00:00:00+00:00,35.9680000000,39.0010000000,34.3730000000,34.8690000000,178571.4860000000
2020-10-28 00:00:00+00:00,34.9350000000,35.6700000000,32.0000000000,32.4220000000,144227.5740000000
2020-10-29 00:00:00+00:00,32.4270000000,33.2300000000,28.1240000000,29.2440000000,175965.9080000000
2020-10-30 00:00:00+00:00,29.1780000000,32.0000000000,27.7300000000,31.0870000000,180251.7190000000
2020-10-31 00:00:00+00:00,31.0870000000,32.9380000000,29.5150000000,29.7000000000,113411.5590000000
2020-11-01 00:00:00+00:00,29.7370000000,31.1240000000,28.2000000000,30.7570000000,83150.5200000000
2020-11-02 00:00:00+00:00,30.7030000000,34.4850000000,29.1300000000,29.7240000000,179642.3250000000
2020-11-03 00:00:00+00:00,29.7230000000,30.0750000000,27.4240000000,28.1220000000,84414.7700000000
2020-11-04 00:00:00+00:00,28.1420000000,28.4440000000,26.0650000000,27.6860000000,81620.5890000000
2020-11-05 00:00:00+00:00,27.7520000000,33.0000000000,25.9390000000,30.9950000000,222270.5090000000
2020-11-06 00:00:00+00:00,30.9970000000,41.0000000000,30.8430000000,38.6500000000,375996.3810000000
2020-11-07 00:00:00+00:00,38.5550000000,51.9000000000,38.3410000000,44.5290000000,489983.2100000000
2020-11-08 00:00:00+00:00,44.4260000000,54.9000000000,42.6060000000,53.9310000000,361623.5800000000
2020-11-09 00:00:00+00:00,53.9500000000,59.0940000000,49.4500000000,55.1130000000,563452.1139999999
2020-11-10 00:00:00+00:00,55.1910000000,70.8250000000,52.8220000000,66.9880000000,555485.0030000000
